"rawTimeSeries","datesVector"
485.183502197266,2003-05-29
509.473495483398,2003-06-06
625.679016113281,2003-06-14
735.160491943359,2003-06-22
716.418029785156,2003-06-30
591.141510009766,2003-07-08
610.382019042969,2003-07-16
508.570007324219,2003-07-24
707.66650390625,2003-08-01
639.181518554688,2003-08-09
620.998992919922,2003-08-17
644.876007080078,2003-08-25
653.693481445312,2003-09-02
568.370483398438,2003-09-10
650.811981201172,2003-09-18
600.85400390625,2003-09-26
NA,2003-10-04
509.267013549805,2003-10-12
NA,2003-10-20
621.991027832031,2003-10-28
613.050476074219,2003-11-05
629.296997070312,2003-11-13
490.272994995117,2003-11-21
248.600997924805,2003-11-29
402.152008056641,2003-12-07
427.399505615234,2003-12-15
NA,2003-12-23
NA,2004-01-05
420.5,2004-01-13
445.46549987793,2004-01-21
402.323501586914,2004-01-29
365.612503051758,2004-02-06
462.015014648438,2004-02-14
375.266494750977,2004-02-22
NA,2004-03-01
375.880996704102,2004-03-09
494.114013671875,2004-03-17
NA,2004-03-25
401.625503540039,2004-04-02
437.625,2004-04-10
402.596008300781,2004-04-18
802.362976074219,2004-04-26
294.744995117188,2004-05-04
626.183502197266,2004-05-12
426.059997558594,2004-05-20
438.152008056641,2004-05-28
432.240005493164,2004-06-05
396.722503662109,2004-06-13
461.234008789062,2004-06-21
464.946502685547,2004-06-29
509.114013671875,2004-07-07
649.582000732422,2004-07-15
693.008972167969,2004-07-23
627.184997558594,2004-07-31
655.921020507812,2004-08-08
558.574981689453,2004-08-16
481.132507324219,2004-08-24
569.325988769531,2004-09-01
593.698516845703,2004-09-09
543.763000488281,2004-09-17
528.118988037109,2004-09-25
637.903503417969,2004-10-03
418.338500976562,2004-10-11
500.066986083984,2004-10-19
440.482498168945,2004-10-27
385.709014892578,2004-11-04
408.443008422852,2004-11-12
470.25,2004-11-20
369.309997558594,2004-11-28
374.377014160156,2004-12-06
NA,2004-12-14
NA,2004-12-22
331.233001708984,2005-01-05
341.369995117188,2005-01-13
454.938995361328,2005-01-21
510.228500366211,2005-01-29
498.489013671875,2005-02-06
NA,2005-02-14
387.912002563477,2005-02-22
NA,2005-03-02
410.005004882812,2005-03-10
415.390991210938,2005-03-18
398.704010009766,2005-03-26
399.452499389648,2005-04-03
762.226013183594,2005-04-11
733.302490234375,2005-04-19
828.368499755859,2005-04-27
857.722503662109,2005-05-05
918.848022460938,2005-05-13
703.132995605469,2005-05-21
694.070983886719,2005-05-29
595.968994140625,2005-06-06
584.495483398438,2005-06-14
617.984985351562,2005-06-22
540.057006835938,2005-06-30
516.70849609375,2005-07-08
726.143005371094,2005-07-16
514.803985595703,2005-07-24
535.840515136719,2005-08-01
496.671997070312,2005-08-09
472.793991088867,2005-08-17
484.339492797852,2005-08-25
446.301010131836,2005-09-02
492.915008544922,2005-09-10
NA,2005-09-18
427.213989257812,2005-09-26
429.428497314453,2005-10-04
301.933502197266,2005-10-12
289.64599609375,2005-10-20
NA,2005-10-28
443.578002929688,2005-11-05
512.019012451172,2005-11-13
NA,2005-11-21
NA,2005-11-29
432.02099609375,2005-12-07
445.432006835938,2005-12-15
335.491485595703,2005-12-23
286.809509277344,2006-01-05
345.984497070312,2006-01-13
244.662994384766,2006-01-21
335.320007324219,2006-01-29
310.022003173828,2006-02-06
447.046997070312,2006-02-14
344.579986572266,2006-02-22
401.499008178711,2006-03-02
NA,2006-03-10
419.800003051758,2006-03-18
304.321990966797,2006-03-26
NA,2006-04-03
420.453002929688,2006-04-11
388.805999755859,2006-04-19
379.345504760742,2006-04-27
389.199996948242,2006-05-05
544.871002197266,2006-05-13
379.865509033203,2006-05-21
649.765991210938,2006-05-29
NA,2006-06-06
640.680511474609,2006-06-14
523.597991943359,2006-06-22
658.186981201172,2006-06-30
547.693511962891,2006-07-08
485.137496948242,2006-07-16
545.596496582031,2006-07-24
470.580001831055,2006-08-01
441.769500732422,2006-08-09
433.876998901367,2006-08-17
500.120498657227,2006-08-25
767.739013671875,2006-09-02
437.730499267578,2006-09-10
428.341003417969,2006-09-18
671.359008789062,2006-09-26
463.233489990234,2006-10-04
372.506011962891,2006-10-12
490.403015136719,2006-10-20
385.635498046875,2006-10-28
NA,2006-11-05
NA,2006-11-13
389.046997070312,2006-11-21
471.737991333008,2006-11-29
NA,2006-12-07
438.183502197266,2006-12-15
445.095993041992,2006-12-23
527.833984375,2007-01-05
NA,2007-01-13
430.032989501953,2007-01-21
372.793502807617,2007-01-29
308.238998413086,2007-02-06
354.281005859375,2007-02-14
376.430999755859,2007-02-22
310.432998657227,2007-03-02
530.926483154297,2007-03-10
442.435501098633,2007-03-18
394.911499023438,2007-03-26
472.981506347656,2007-04-03
422.900497436523,2007-04-11
410.194000244141,2007-04-19
335.517486572266,2007-04-27
453.578002929688,2007-05-05
631.461975097656,2007-05-13
479.276992797852,2007-05-21
513.148498535156,2007-05-29
792.739501953125,2007-06-06
461.756988525391,2007-06-14
547.358520507812,2007-06-22
551.061004638672,2007-06-30
524.102508544922,2007-07-08
504.7919921875,2007-07-16
483.477508544922,2007-07-24
544.102020263672,2007-08-01
438.743988037109,2007-08-09
550.462524414062,2007-08-17
479.037994384766,2007-08-25
585.255004882812,2007-09-02
693.5419921875,2007-09-10
605.392486572266,2007-09-18
699.332000732422,2007-09-26
555.268493652344,2007-10-04
424.165008544922,2007-10-12
501.068511962891,2007-10-20
NA,2007-10-28
NA,2007-11-05
346.393005371094,2007-11-13
NA,2007-11-21
NA,2007-11-29
482.444000244141,2007-12-07
451.035003662109,2007-12-15
407.054504394531,2007-12-23
NA,2008-01-05
